"Player","Team","Bye","POS","Underdog","ADP"
"Mason Taylor","NYJ","9","TE24","186","186"
"DeAndre Hopkins","BAL","7","WR77","187","187"
"Chig Okonkwo","TEN","10","TE25","188","188"
"Darren Waller","MIA","12","TE26","189","189"
"Jerome Ford","CLE","9","RB59","190","190"
"Dont'e Thornton Jr.","LV","8","WR78","191","191"
"Darius Slayton","NYG","14","WR79","192","192"
"DJ Giddens","IND","11","RB60","193","193"
"Calvin Austin III","PIT","5","WR80","194","194"
"Justice Hill","BAL","7","RB61","195","195"
"MarShawn Lloyd","GB","5","RB62","196","196"
"Anthony Richardson Sr.","IND","11","QB29","197","197"
"Keenan Allen","","","WR81","198","198"
"Dalton Schultz","HOU","6","TE27","199","199"
"Jarquez Hunter","LAR","8","RB63","200","200"
"Brashard Smith","KC","10","RB64","201","201"
"Ja'Tavion Sanders","CAR","14","TE28","202","202"
"Daniel Jones","IND","11","QB30","203","203"
"Andrei Iosivas","CIN","10","WR82","204","204"
"Tutu Atwell","LAR","8","WR83","205","205"
"Juwan Johnson","NO","11","TE29","206","206"
"Tyler Lockett","TEN","10","WR84","207","207"
"Tyler Shough","NO","11","QB31","208","208"
"Blake Corum","LAR","8","RB65","209","209"
"Jalen Coker","CAR","14","WR85","210","210"
"Pat Freiermuth","PIT","5","TE30","211","211"
"Kareem Hunt","KC","10","RB66","212","212"
"Keaton Mitchell","BAL","7","RB67","213","213"
"Theo Johnson","NYG","14","TE31","214","214"
"Dontayvion Wicks","GB","5","WR86","215","215"
"Russell Wilson","NYG","14","QB32","216","216"
"Elic Ayomanor","TEN","10","WR87","217","217"
"Adonai Mitchell","IND","11","WR88","218","218"
